**** Molotov v1.6. Happy breaking! ****
Testing stage.normandy.nonprod.cloudops.mozgcp.net
Preparing 1 worker...
OK
SUCCESSES: 1949 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1958 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1968 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1977 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1986 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1996 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2005 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2015 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2015 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2022 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2032 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2041 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2050 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2060 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2069 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2079 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2088 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2097 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2107 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2116 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2125 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2135 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2144 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2154 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2163 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2173 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2182 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2192 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2202 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2211 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2221 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2230 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2240 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2249 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2258 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2268 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2277 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2287 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2296 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2304 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2304 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2314 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2323 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2332 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2342 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2351 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2360 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2370 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2379 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2389 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2398 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2407 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2417 | FAILURES: 0 | WORKERS: 1
